;;;;;;;;;;;;;x,,
immigration_focus;Population;;;;;;;;;;;;;x,,
gendarmerie;Gendarmerie;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
gendarmerie_desc;A gendarmerie is a military force with law enforcement duties among the civilian population.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
proclaim_republic_title;§EFound the Republic§!;;;;;;;;;;;;;x,,
proclaim_republic_desc;We have become the masters of our political destiny, the power of the monarchy has been ceded to the parliament and chancellor, and by extension to ourselves. Now we have within our grasp the ability to finish the job peacefully, and to make We The People the formal basis of our sovereignty!;;;;;;;;;;;;;x
TUR_presidential_dictatorship;The Sublime Porte;Turquie;Türkei;;Turquía;;;;;;;;;x,,,
TUR_presidential_dictatorship_ADJ;Ottoman;Turc;Türkisch;;turca;;;;;;;;;x,,,
TUR_democracy;The Ottoman Federation;Turquie;Türkei;;Turquía;;;;;;;;;x,,,
TUR_democracy_ADJ;Ottoman;Turc;Türkisch;;turca;;;;;;;;;x,,,
TUR_bourgeois_dictatorship;Near East Free Federation;;;;;;;;;;;;;x
TUR_bourgeois_dictatorship_ADJ;Ottoman;;;;;;;;;;;;;x
TUR_fascist_dictatorship;Supreme Ottoman State;;;;;;;;;;;;;x
TUR_fascist_dictatorship;Ottoman;;;;;;;;;;;;;x
TUR_proletarian_dictatorship;Ottoman Socialist Republic;;;;;;;;;;;;;x
TUR_proletarian_dictatorship_ADJ;Ottoman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
all_of_mexico_title;All of Mexico!;;;;;;;;;;;;;x,,,
all_of_mexico_desc;It is not enough to have empty lands, all Mexicans are Americans! §YNOTE: Not an option once the civil war starts.§!;;;;;;;;;;;;;x,,
cultural_expansion_title;Expand the Federation!;;;;;;;;;;;;;x,,,
cultural_expansion_desc;Whilst we have made excellent progress regardless of our cultures, some are still left out. It is time to bring them as full citizens into the Federation.;;;;;;;;;;;;;x,,
EVT90056OPTB;They have their sphere, we have ours;;;;;;;;;;;;;x,,
EVTNAME777789;New Republican Constitution;;;;;;;;;;;;;x,,
EVTDESC777789;Discussions are ongoing in our new republic as to how centeralised we should be:;;;;;;;;;;;;;x,,
EVTOPTA777789;Confederalism;;;;;;;;;;;;;x,,
EVTOPTB777789;Regionalism;;;;;;;;;;;;;x,,
EVTOPTC777789;Federalism;;;;;;;;;;;;;x,,
EVTOPTD777789;Unitary;;;;;;;;;;;;;x,,
contraception;Contraception;;;;;;;;;;;;;x,,
contraception_desc;The recent proliferation of conttraception amoung out populace is having a negative effect on our growth rate.;;;;;;;;;;;;;x,,
popular_prophylactic;Popular Prophylactics;;;;;;;;;;;;;x,,
popular_prophylactic_desc;Prophylactics and the like are become widespread in the population, reducing the fertility rate.;;;;;;;;;;;;;x,,
women_workforce;Women in the Workforce;;;;;;;;;;;;;x,,
women_workforce_desc;Women are increasingly being employed in greater numbers, upsetting the more traditional order of family life. Decreasing stay at home wifes results in a reduced interest in having children.;;;;;;;;;;;;;x,,
late_marriage;Late Marriage;;;;;;;;;;;;;x,,
